       t         state 0 pop         state 1 pop         state 2 pop         state 3 pop         state 4 pop         state 5 pop         state 6 pop         state 7 pop         state 8 pop              poptot
  0.0000        1.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        1.0000000000
  0.5000        0.9999299156        0.0000087687        0.0000087678        0.0000087669        0.0000087660        0.0000087558        0.0000087544        0.0000087531        0.0000087517        1.0000000000
  1.0000        0.9997180355        0.0000353772        0.0000353630        0.0000353482        0.0000353328        0.0000351682        0.0000351470        0.0000351253        0.0000351029        1.0000000001
  1.5000        0.9993646285        0.0000800901        0.0000800177        0.0000799424        0.0000798641        0.0000790282        0.0000789209        0.0000788107        0.0000786977        1.0000000003
  2.0000        0.9988735889        0.0001429147        0.0001426850        0.0001424461        0.0001421979        0.0001395573        0.0001392195        0.0001388731        0.0001385180        1.0000000005
  2.5000        0.9982523628        0.0002235976        0.0002230356        0.0002224515        0.0002218452        0.0002154235        0.0002146059        0.0002137682        0.0002129105        1.0000000007
  3.0000        0.9975117662        0.0003216249        0.0003204596        0.0003192493        0.0003179944        0.0003047753        0.0003031020        0.0003013899        0.0002996395        1.0000000010
  3.5000        0.9966657033        0.0004362267        0.0004340721        0.0004318368        0.0004295218        0.0004052936        0.0004022482        0.0003991371        0.0003959618        1.0000000013
  4.0000        0.9957307901        0.0005663855        0.0005627250        0.0005589317        0.0005550082        0.0005142598        0.0005091794        0.0005039992        0.0004987226        1.0000000016
  4.5000        0.9947258984        0.0007108487        0.0007050210        0.0006989905        0.0006927618        0.0006286371        0.0006207168        0.0006126586        0.0006044688        1.0000000019
  5.0000        0.9936716315        0.0008681441        0.0008593342        0.0008502318        0.0008408457        0.0007451642        0.0007334713        0.0007216046        0.0007095748        1.0000000022
  5.5000        0.9925897510        0.0010365996        0.0010238322        0.0010106641        0.0009971104        0.0008604566        0.0008439557        0.0008272563        0.0008103765        1.0000000024
  6.0000        0.9915025713        0.0012143653        0.0011965041        0.0011781176        0.0011592310        0.0009711137        0.0009487012        0.0009260900        0.0009033085        1.0000000026
  6.5000        0.9904323415        0.0013994393        0.0013751891        0.0013502786        0.0013247472        0.0010738275        0.0010443751        0.0010147649        0.0009850396        1.0000000027
  7.0000        0.9894006344        0.0015896949        0.0015576098        0.0015247274        0.0014911071        0.0011654891        0.0011278947        0.0010902449        0.0010526005        1.0000000028
  7.5000        0.9884277612        0.0017829102        0.0017414065        0.0016989779        0.0016557116        0.0012432907        0.0011965347        0.0011499102        0.0011035000        1.0000000028
  8.0000        0.9875322311        0.0019767996        0.0019241724        0.0018705184        0.0018159614        0.0013048180        0.0012480229        0.0011916552        0.0011358238        1.0000000028
  8.5000        0.9867302711        0.0021690458        0.0021034913        0.0020368535        0.0019693030        0.0013481321        0.0012806220        0.0012139701        0.0011483138        1.0000000027
  9.0000        0.9860354219        0.0023573319        0.0022769738        0.0021955449        0.0021132750        0.0013718363        0.0012931945        0.0012160011        0.0011404229        1.0000000025
  9.5000        0.9854582194        0.0025393751        0.0024422946        0.0023442529        0.0022455523        0.0013751267        0.0012852476        0.0011975889        0.0011123449        1.0000000023
 10.0000        0.9850059730        0.0027129578        0.0025972276        0.0024807745        0.0023639884        0.0013578240        0.0012569576        0.0011592829        0.0010650163        1.0000000021
 10.5000        0.9846826445        0.0028759596        0.0027396806        0.0026030813        0.0024666541        0.0013203871        0.0012091720        0.0011023309        0.0010000917        1.0000000018
 11.0000        0.9844888299        0.0030263869        0.0028677272        0.0027093524        0.0025518732        0.0012639055        0.0011433898        0.0010286443        0.0009198924        1.0000000016
 11.5000        0.9844218426        0.0031624008        0.0029796363        0.0027980058        0.0026182532        0.0011900731        0.0010617198        0.0009407398        0.0008273300        1.0000000013
 12.0000        0.9844758942        0.0032823427        0.0030738990        0.0028677249        0.0026647108        0.0011011425        0.0009668188        0.0008416604        0.0007258077        1.0000000011
 12.5000        0.9846423633        0.0033847576        0.0031492514        0.0029174807        0.0026904930        0.0009998616        0.0008618118        0.0007348771        0.0006191043        1.0000000008
 13.0000        0.9849101427        0.0034684143        0.0032046943        0.0029465493        0.0026951912        0.0008893954        0.0007501960        0.0006241755        0.0005112420        1.0000000006
 13.5000        0.9852660523        0.0035323222        0.0032395084        0.0029545250        0.0026787501        0.0007732336        0.0006357323        0.0005135307        0.0004063459        1.0000000004
 14.0000        0.9856953010        0.0035757450        0.0032532656        0.0029413276        0.0026414706        0.0006550884        0.0005223283        0.0004069756        0.0003084982        1.0000000003
 14.5000        0.9861819837        0.0035982110        0.0032458361        0.0029072050        0.0025840057        0.0005387850        0.0004139145        0.0003084655        0.0002215937        1.0000000002
 15.0000        0.9867095940        0.0035995191        0.0032173903        0.0028527300        0.0025073517        0.0004281479        0.0003143211        0.0002217459        0.0001492002        1.0000000002
 15.5000        0.9872615371        0.0035797421        0.0031683976        0.0027787930        0.0024128325        0.0003268870        0.0002271555        0.0001502250        0.0000944304        1.0000000002
 16.0000        0.9878216248        0.0035392256        0.0030996198        0.0026865886        0.0023020788        0.0002384867        0.0001556879        0.0000968588        0.0000598294        1.0000000003
 16.5000        0.9883745377        0.0034785834        0.0030121009        0.0025775985        0.0021770030        0.0001661010        0.0001027462        0.0000640490        0.0000472806        1.0000000004
 17.0000        0.9889062401        0.0033986901        0.0029071530        0.0024535699        0.0020397683        0.0001124588        0.0000706244        0.0000535602        0.0000579356        1.0000000006
 17.5000        0.9894043343        0.0033006694        0.0027863384        0.0023164897        0.0018927546        0.0000797808        0.0000610083        0.0000664571        0.0000921681        1.0000000007
 18.0000        0.9898583460        0.0031858806        0.0026514482        0.0021685552        0.0017385209        0.0000697116        0.0000749185        0.0001030645        0.0001495554        1.0000000009
 18.5000        0.9902599316        0.0030559006        0.0025044783        0.0020121424        0.0015797652        0.0000832682        0.0001126754        0.0001629521        0.0002288873        1.0000000012
 19.0000        0.9906030037        0.0029125050        0.0023476029        0.0018497717        0.0014192817        0.0001208073        0.0001738846        0.0002449428        0.0003282016        1.0000000014
 19.5000        0.9908837733        0.0027576463        0.0021831449        0.0016840712        0.0012599181        0.0001820111        0.0002574445        0.0003471466        0.0004448457        1.0000000016
 20.0000        0.9911007091        0.0025934294        0.0020135461        0.0015177393        0.0011045305        0.0002658930        0.0003615762        0.0004670160        0.0005755622        1.0000000019
 20.5000        0.9912544184        0.0024220872        0.0018413347        0.0013535067        0.0009559405        0.0003708223        0.0004838733        0.0006014242        0.0007165948        1.0000000021
 21.0000        0.9913474561        0.0022459533        0.0016690931        0.0011940981        0.0008168920        0.0004945676        0.0006213705        0.0007467607        0.0008638111        1.0000000022
 21.5000        0.9913840703        0.0020674350        0.0014994243        0.0010421940        0.0006900094        0.0006343571        0.0007706304        0.0008990431        0.0010128387        1.0000000024
 22.0000        0.9913698958        0.0018889854        0.0013349201        0.0009003944        0.0005777592        0.0007869543        0.0009278429        0.0010540409        0.0011592095        1.0000000025
 22.5000        0.9913116071        0.0017130749        0.0011781275        0.0007711833        0.0004824135        0.0009487463        0.0010889371        0.0012074063        0.0012985064        1.0000000025
 23.0000        0.9912165452        0.0015421639        0.0010315185        0.0006568955        0.0004060165        0.0011158439        0.0012496997        0.0013548098        0.0014265096        1.0000000026
 23.5000        0.9910923315        0.0013786750        0.0008974595        0.0005596860        0.0003503563        0.0012841871        0.0014058980        0.0014920739        0.0015393352        1.0000000026
 24.0000        0.9909464829        0.0012249666        0.0007781832        0.0004815019        0.0003169389        0.0014496575        0.0015534039        0.0016153034        0.0016335642        1.0000000025
 24.5000        0.9907860427        0.0010833074        0.0006757626        0.0004240579        0.0003069685        0.0016081899        0.0016883134        0.0017210057        0.0017063543        1.0000000024
 25.0000        0.9906172393        0.0009558527        0.0005920872        0.0003888148        0.0003213308        0.0017558840        0.0018070604        0.0018061986        0.0017555346        1.0000000023
 25.5000        0.9904451850        0.0008446214        0.0005288412        0.0003769621        0.0003605828        0.0018891097        0.0019065196        0.0018685032        0.0017796772        1.0000000022
 26.0000        0.9902736248        0.0007514760        0.0004874858        0.0003894045        0.0004249461        0.0020046056        0.0019840970        0.0019062167        0.0017781454        1.0000000020
 26.5000        0.9901047436        0.0006781037        0.0004692433        0.0004267515        0.0005143061        0.0020995670        0.0020378047        0.0019183659        0.0017511162        1.0000000018
 27.0000        0.9899390378        0.0006260000        0.0004750846        0.0004893121        0.0006282151        0.0021717206        0.0020663177        0.0019047372        0.0016995764        1.0000000016
 27.5000        0.9897752556        0.0005964548        0.0005057200        0.0005770928        0.0007659011        0.0022193857        0.0020690125        0.0018658850        0.0016252938        1.0000000014
 28.0000        0.9896104064        0.0005905409        0.0005615933        0.0006897997        0.0009262800        0.0022415181        0.0020459843        0.0018031158        0.0015307628        1.0000000012
 28.5000        0.9894398395        0.0006091040        0.0006428783        0.0008268442        0.0011079724        0.0022377378        0.0019980460        0.0017184508        0.0014191279        1.0000000011
 29.0000        0.9892573888        0.0006527571        0.0007494798        0.0009873527        0.0013093246        0.0022083386        0.0019267047        0.0016145673        0.0012940874        1.0000000009
 29.5000        0.9890555777        0.0007218752        0.0008810360        0.0011701789        0.0015284322        0.0021542800        0.0018341210        0.0014947206        0.0011597792        1.0000000008
 30.0000        0.9888258770        0.0008165945        0.0010369253        0.0013739204        0.0017631673        0.0020771617        0.0017230494        0.0013626503        0.0010206547        1.0000000007
 30.5000        0.9885590076        0.0009368128        0.0012162752        0.0015969373        0.0020112080        0.0019791822        0.0015967631        0.0012224719        0.0008813426        1.0000000006
 31.0000        0.9882452773        0.0010821923        0.0014179734        0.0018373737        0.0022700700        0.0018630816        0.0014589649        0.0010785587        0.0007465086        1.0000000005
 31.5000        0.9878749408        0.0012521658        0.0016406826        0.0020931811        0.0025371404        0.0017320713        0.0013136870        0.0009354172        0.0006207142        1.0000000005
 32.0000        0.9874385705        0.0014459437        0.0018828563        0.0023621444        0.0028097114        0.0015897524        0.0011651830        0.0007975587        0.0005082800        1.0000000005
 32.5000        0.9869274270        0.0016625244        0.0021427572        0.0026419088        0.0030850159        0.0014400244        0.0010178140        0.0006693723        0.0004131565        1.0000000005
 33.0000        0.9863338167        0.0019007053        0.0024184772        0.0029300079        0.0033602626        0.0012869878        0.0008759338        0.0005550021        0.0003388072        1.0000000006
 33.5000        0.9856514262        0.0021590968        0.0027079591        0.0032238934        0.0036326709        0.0011348421        0.0007437738        0.0004582318        0.0002881066        1.0000000007
 34.0000        0.9848269024        0.0031413149        0.0028334640        0.0025687460        0.0023394639        0.0011749874        0.0011024650        0.0010364555        0.0009762018        1.0000000008
 34.5000        0.9848238002        0.0031417521        0.0028338910        0.0025691638        0.0023398734        0.0011753458        0.0011028194        0.0010368063        0.0009765491        1.0000000009
 35.0000        0.9848129942        0.0031432786        0.0028353816        0.0025706219        0.0023413018        0.0011765918        0.0011040513        0.0010380248        0.0009777550        1.0000000010
 35.5000        0.9847896924        0.0031465832        0.0028386071        0.0025737755        0.0023443898        0.0011792712        0.0011066984        0.0010406412        0.0009803424        1.0000000012
 36.0000        0.9847492169        0.0031523540        0.0028442362        0.0025792757        0.0023497721        0.0011839071        0.0011112740        0.0010451595        0.0009848059        1.0000000013
 36.5000        0.9846870827        0.0031612725        0.0028529290        0.0025877625        0.0023580700        0.0011909884        0.0011182546        0.0010520438        0.0009915980        1.0000000015
 37.0000        0.9845990722        0.0031740075        0.0028653304        0.0025998584        0.0023698845        0.0012009579        0.0011280677        0.0010617067        0.0010011163        1.0000000016
 37.5000        0.9844813016        0.0031912101        0.0028820643        0.0026161616        0.0023857897        0.0012142026        0.0011410815        0.0010744979        0.0010136923        1.0000000017
 38.0000        0.9843302794        0.0032135082        0.0029037282        0.0026372407        0.0024063262        0.0012310445        0.0011575961        0.0010906957        0.0010295828        1.0000000019
 38.5000        0.9841429549        0.0032415019        0.0029308880        0.0026636288        0.0024319957        0.0012517342        0.0011778364        0.0011104997        0.0010489623        1.0000000020
 39.0000        0.9839167572        0.0032757590        0.0029640736        0.0026958191        0.0024632558        0.0012764450        0.0012019469        0.0011340262        0.0010719195        1.0000000021
 39.5000        0.9836496226        0.0033168110        0.0030037743        0.0027342603        0.0025005157        0.0013052697        0.0012299888        0.0011613054        0.0010984543        1.0000000021
 40.0000        0.9833400115        0.0033651501        0.0030504358        0.0027793531        0.0025441329        0.0013382194        0.0012619392        0.0011922814        0.0011284788        1.0000000022
 40.5000        0.9829869134        0.0034212259        0.0031044571        0.0028314475        0.0025944094        0.0013752230        0.0012976919        0.0012268140        0.0011618201        1.0000000022
 41.0000        0.9825898421        0.0034854431        0.0031661878        0.0028908400        0.0026515903        0.0014161306        0.0013370607        0.0012646826        0.0011982251        1.0000000022
 41.5000        0.9821488199        0.0035581596        0.0032359268        0.0029577722        0.0027158622        0.0014607164        0.0013797843        0.0013055928        0.0012373682        1.0000000022
 42.0000        0.9816643517        0.0036396853        0.0033139207        0.0030324299        0.0027873522        0.0015086853        0.0014255333        0.0013491836        0.0012788603        1.0000000022
 42.5000        0.9811373918        0.0037302812        0.0034003634        0.0031149429        0.0028661282        0.0015596794        0.0014739184        0.0013950377        0.0013222593        1.0000000022
 43.0000        0.9805693014        0.0038301591        0.0034953962        0.0032053848        0.0029522000        0.0016132865        0.0015244997        0.0014426918        0.0013670826        1.0000000021
 43.5000        0.9799618009        0.0039394819        0.0035991080        0.0033037746        0.0030455201        0.0016690501        0.0015767980        0.0014916486        0.0014128199        1.0000000020
 44.0000        0.9793169164        0.0040583640        0.0037115368        0.0034100779        0.0031459863        0.0017264793        0.0016303057        0.0015413892        0.0014589463        1.0000000020
 44.5000        0.9786369226        0.0041868729        0.0038326709        0.0035242091        0.0032534443        0.0017850597        0.0016844989        0.0015913864        0.0015049370        1.0000000019
 45.0000        0.9779242837        0.0043250304        0.0039624511        0.0036460339        0.0033676907        0.0018442653        0.0017388496        0.0016411170        0.0015502801        1.0000000018
 45.5000        0.9771815924        0.0044728147        0.0041007731        0.0037753724        0.0034884771        0.0019035690        0.0017928380        0.0016900750        0.0015944900        1.0000000017
 46.0000        0.9764115104        0.0046301626        0.0042474906        0.0039120027        0.0036155139        0.0019624546        0.0018459638        0.0017377834        0.0016371196        1.0000000016
 46.5000        0.9756167099        0.0047969725        0.0044024180        0.0040556643        0.0037484750        0.0020204273        0.0018977574        0.0017838054        0.0016777717        1.0000000015
 47.0000        0.9747998179        0.0049731066        0.0045653342        0.0042060627        0.0038870025        0.0020770238        0.0019477907        0.0018277547        0.0017161082        1.0000000014
 47.5000        0.9739633647        0.0051583950        0.0047359863        0.0043628733        0.0040307117        0.0021318218        0.0019956854        0.0018693043        0.0017518588        1.0000000013
 48.0000        0.9731097370        0.0053526381        0.0049140934        0.0045257461        0.0041791960        0.0021844486        0.0020411217        0.0019081934        0.0017848270        1.0000000012
 48.5000        0.9722411366        0.0055556106        0.0050993506        0.0046943103        0.0043320328        0.0022345879        0.0020838446        0.0019442334        0.0018148944        1.0000000011
 49.0000        0.9713595453        0.0057670652        0.0052914332        0.0048681790        0.0044887880        0.0022819863        0.0021236687        0.0019773117        0.0018420235        1.0000000011
 49.5000        0.9704666963        0.0059867361        0.0054900010        0.0050469540        0.0046490217        0.0023264575        0.0021604825        0.0020073939        0.0018662582        1.0000000010
 50.0000        0.9695640525        0.0062143424        0.0056947022        0.0052302301        0.0048122931        0.0023678856        0.0021942492        0.0020345239        0.0018877220        1.0000000010
 50.5000        0.9686527918        0.0064495927        0.0059051779        0.0054176002        0.0049781656        0.0024062272        0.0022250079        0.0020588227        0.0019066150        1.0000000009
 51.0000        0.9677337992        0.0066921879        0.0061210659        0.0056086594        0.0051462117        0.0024415112        0.0022528718        0.0020804852        0.0019232086        1.0000000009
 51.5000        0.9668076652        0.0069418254        0.0063420049        0.0058030094        0.0053160171        0.0024738384        0.0022780258        0.0020997755        0.0019378392        1.0000000009
 52.0000        0.9658746908        0.0071982023        0.0065676383        0.0060002628        0.0054871856        0.0025033784        0.0023007220        0.0021170211        0.0019508997        1.0000000009
 52.5000        0.9649348982        0.0074610192        0.0067976178        0.0062000465        0.0056593424        0.0025303664        0.0023212744        0.0021326052        0.0019628309        1.0000000009
 53.0000        0.9639880465        0.0077299832        0.0070316069        0.0064020059        0.0058321384        0.0025550984        0.0023400522        0.0021469586        0.0019741109        1.0000000009
 53.5000        0.9630336518        0.0080048113        0.0072692844        0.0066058077        0.0060052529        0.0025779252        0.0023574726        0.0021605506        0.0019852446        1.0000000009
 54.0000        0.9620710115        0.0082852332        0.0075103471        0.0068111435        0.0061783969        0.0025992458        0.0023739920        0.0021738786        0.0019967525        1.0000000010
 54.5000        0.9610992304        0.0085709941        0.0077545131        0.0070177319        0.0063513156        0.0026194999        0.0023900975        0.0021874588        0.0020091598        1.0000000010
 55.0000        0.9601172504        0.0088618575        0.0080015239        0.0072253217        0.0065237902        0.0026391602        0.0024062976        0.0022018149        0.0020229846        1.0000000011
 55.5000        0.9591238802        0.0091576075        0.0082511471        0.0074336933        0.0066956401        0.0026587239        0.0024231125        0.0022174687        0.0020387278        1.0000000011
 56.0000        0.9581178261        0.0094580512        0.0085031783        0.0076426611        0.0068667242        0.0026787038        0.0024410647        0.0022349291        0.0020568627        1.0000000012
 56.5000        0.9570977226        0.0097630203        0.0087574430        0.0078520745        0.0070369416        0.0026996202        0.0024606699        0.0022546837        0.0020778255        1.0000000012
 57.0000        0.9560621612        0.0100723735        0.0090137981        0.0080618196        0.0072062327        0.0027219921        0.0024824280        0.0022771888        0.0021020074        1.0000000013
 57.5000        0.9550097187        0.0103859977        0.0092721336        0.0082718197        0.0073745792        0.0027463289        0.0025068143        0.0023028622        0.0021297471        1.0000000013
 58.0000        0.9539389823        0.0107038099        0.0095323730        0.0084820362        0.0075420044        0.0027731225        0.0025342725        0.0023320757        0.0021613250        1.0000000014
 58.5000        0.9528485721        0.0110257579        0.0097944750        0.0086924688        0.0077085726        0.0028028402        0.0025652071        0.0023651491        0.0021969587        1.0000000014
 59.0000        0.9517371609        0.0113518218        0.0100584336        0.0089031559        0.0078743888        0.0028359174        0.0025999778        0.0024023456        0.0022367997        1.0000000015
 59.5000        0.9506034898        0.0116820151        0.0103242789        0.0091141741        0.0080395979        0.0028727522        0.0026388940        0.0024438677        0.0022809318        1.0000000015
 60.0000        0.9494463807        0.0120163850        0.0105920772        0.0093256382        0.0082043834        0.0029136998        0.0026822112        0.0024898552        0.0023293709        1.0000000016
 60.5000        0.9482647442        0.0123550134        0.0108619312        0.0095377008        0.0083689664        0.0029590684        0.0027301275        0.0025403839        0.0023820657        1.0000000016
 61.0000        0.9470575846        0.0126980172        0.0111339803        0.0097505512        0.0085336041        0.0030091155        0.0027827823        0.0025954658        0.0024389005        1.0000000017
 61.5000        0.9458239999        0.0130455490        0.0114083998        0.0099644151        0.0086985884        0.0030640456        0.0028402550        0.0026550501        0.0024996988        1.0000000017
 62.0000        0.9445631787        0.0133977971        0.0116854013        0.0101795531        0.0088642439        0.0031240086        0.0029025655        0.0027190260        0.0025642275        1.0000000017
 62.5000        0.9432743936        0.0137549860        0.0119652316        0.0103962605        0.0090309268        0.0031890990        0.0029696753        0.0027872256        0.0026322033        1.0000000017
 63.0000        0.9419569909        0.0141173760        0.0122481731        0.0106148652        0.0091990224        0.0032593564        0.0030414901        0.0028594289        0.0027032988        1.0000000018
 63.5000        0.9406103779        0.0144852638        0.0125345425        0.0108357272        0.0093689434        0.0033347664        0.0031178623        0.0029353684        0.0027771499        1.0000000018
 64.0000        0.9392340068        0.0148589823        0.0128246905        0.0110592372        0.0095411285        0.0034152625        0.0031985954        0.0030147353        0.0028533633        1.0000000018
 64.5000        0.9378273573        0.0152389003        0.0131190012        0.0112858152        0.0097160398        0.0035007291        0.0032834484        0.0030971860        0.0029315245        1.0000000018
 65.0000        0.9363899170        0.0156254227        0.0134178912        0.0115159091        0.0098941616        0.0035910044        0.0033721407        0.0031823486        0.0030112065        1.0000000018
 65.5000        0.9349211602        0.0160189900        0.0137218091        0.0117499938        0.0100759979        0.0036858846        0.0034643584        0.0032698305        0.0030919773        1.0000000018
 66.0000        0.9334205264        0.0164200786        0.0140312344        0.0119885696        0.0102620712        0.0037851280        0.0035597595        0.0033592254        0.0031734087        1.0000000018
 66.5000        0.9318873978        0.0168292000        0.0143466773        0.0122321609        0.0104529206        0.0038884603        0.0036579808        0.0034501206        0.0032550834        1.0000000018
 67.0000        0.9303210778        0.0172469009        0.0146686774        0.0124813153        0.0106490997        0.0039955794        0.0037586440        0.0035421044        0.0033366028        1.0000000018
 67.5000        0.9287207683        0.0176737631        0.0149978031        0.0127366019        0.0108511759        0.0041061609        0.0038613620        0.0036347730        0.0034175937        1.0000000017
 68.0000        0.9270855494        0.0181104026        0.0153346512        0.0129986104        0.0110597280        0.0042198634        0.0039657455        0.0037277367        0.0034977146        1.0000000017
 68.5000        0.9254143595        0.0185574703        0.0156798456        0.0132679500        0.0112753454        0.0043363344        0.0040714092        0.0038206267        0.0035766607        1.0000000017
 69.0000        0.9237059767        0.0190156508        0.0160340370        0.0135452483        0.0114986265        0.0044552155        0.0041779774        0.0039131004        0.0036541691        1.0000000017
 69.5000        0.9219590026        0.0194856626        0.0163979021        0.0138311503        0.0117301779        0.0045761480        0.0042850897        0.0040048465        0.0037300220        1.0000000017
 70.0000        0.9201718474        0.0199682580        0.0167721431        0.0141263174        0.0119706126        0.0046987779        0.0043924061        0.0040955890        0.0038040502        1.0000000017
 70.5000        0.9183427176        0.0204642222        0.0171574868        0.0144314265        0.0122205498        0.0048227610        0.0044996116        0.0041850917        0.0038761345        1.0000000016
 71.0000        0.9164696058        0.0209743736        0.0175546840        0.0147471694        0.0124806134        0.0049477674        0.0046064206        0.0042731602        0.0039462071        1.0000000016
 71.5000        0.9145502831        0.0214995633        0.0179645092        0.0150742518        0.0127514317        0.0050734858        0.0047125800        0.0043596448        0.0040142519        1.0000000016
 72.0000        0.9125822934        0.0220406748        0.0183877600        0.0154133927        0.0130336363        0.0051996271        0.0048178724        0.0044444415        0.0040803036        1.0000000016
 72.5000        0.9105629512        0.0225986237        0.0188252563        0.0157653236        0.0133278616        0.0053259281        0.0049221183        0.0045274926        0.0041444462        1.0000000016
 73.0000        0.9084893402        0.0231743577        0.0192778401        0.0161307882        0.0136347446        0.0054521543        0.0050251779        0.0046087872        0.0042068113        1.0000000016
 73.5000        0.9063583159        0.0237688557        0.0197463751        0.0165105419        0.0139549241        0.0055781022        0.0051269522        0.0046883599        0.0042675746        1.0000000015
 74.0000        0.9041665095        0.0243831282        0.0202317458        0.0169053508        0.0142890406        0.0057036011        0.0052273833        0.0047662895        0.0043269528        1.0000000015
 74.5000        0.9019103336        0.0250182164        0.0207348575        0.0173159921        0.0146377357        0.0058285149        0.0053264545        0.0048426973        0.0043851995        1.0000000015
 75.0000        0.8995859908        0.0256751924        0.0212566360        0.0177432530        0.0150016524        0.0059527425        0.0054241895        0.0049177444        0.0044426006        1.0000000015
 75.5000        0.8971894833        0.0263551583        0.0217980267        0.0181879308        0.0153814345        0.0060762185        0.0055206512        0.0049916283        0.0044994700        1.0000000015
 76.0000        0.8947166245        0.0270592462        0.0223599946        0.0186508322        0.0157777269        0.0061989132        0.0056159400        0.0050645801        0.0045561437        1.0000000015
 76.5000        0.8921630511        0.0277886179        0.0229435238        0.0191327737        0.0161911753        0.0063208317        0.0057101920        0.0051368605        0.0046129754        1.0000000015
 77.0000        0.8895242377        0.0285444642        0.0235496174        0.0196345806        0.0166224262        0.0064420137        0.0058035759        0.0052087551        0.0046703306        1.0000000014
 77.5000        0.8867955112        0.0293280043        0.0241792965        0.0201570875        0.0170721272        0.0065625313        0.0058962907        0.0052805712        0.0047285817        1.0000000014
 78.0000        0.8839720661        0.0301404860        0.0248336006        0.0207011373        0.0175409268        0.0066824879        0.0059885622        0.0053526324        0.0047881022        1.0000000014
 78.5000        0.8810489807        0.0309831843        0.0255135867        0.0212675818        0.0180294747        0.0068020164        0.0060806399        0.0054252748        0.0048492621        1.0000000014
 79.0000        0.8780212336        0.0318574016        0.0262203289        0.0218572812        0.0185384217        0.0069212764        0.0061727935        0.0054988417        0.0049124228        1.0000000014
 79.5000        0.8748837193        0.0327644665        0.0269549183        0.0224711037        0.0190684203        0.0070404520        0.0062653088        0.0055736800        0.0049779325        1.0000000014
 80.0000        0.8716312655        0.0337057333        0.0277184623        0.0231099258        0.0196201241        0.0071597491        0.0063584844        0.0056501353        0.0050461216        1.0000000014
 80.5000        0.8682586482        0.0346825811        0.0285120844        0.0237746316        0.0201941885        0.0072793927        0.0064526279        0.0057285477        0.0051172993        1.0000000014
 81.0000        0.8647606081        0.0356964134        0.0293369230        0.0244661129        0.0207912706        0.0073996239        0.0065480519        0.0058092480        0.0051917496        1.0000000014
 81.5000        0.8611318657        0.0367486565        0.0301941317        0.0251852691        0.0214120293        0.0075206966        0.0066450706        0.0058925536        0.0052697283        1.0000000014
 82.0000        0.8573671357        0.0378407590        0.0310848781        0.0259330064        0.0220571257        0.0076428749        0.0067439960        0.0059787653        0.0053514603        1.0000000014
 82.5000        0.8534611414        0.0389741902        0.0320103434        0.0267102380        0.0227272223        0.0077664296        0.0068451345        0.0060681642        0.0054371377        1.0000000014
 83.0000        0.8494086278        0.0401504393        0.0329717213        0.0275178837        0.0234229841        0.0078916356        0.0069487840        0.0061610083        0.0055269174        1.0000000014
 83.5000        0.8452043741        0.0413710138        0.0339702175        0.0283568690        0.0241450776        0.0080187685        0.0070552301        0.0062575305        0.0056209203        1.0000000014
 84.0000        0.8408432056        0.0426374376        0.0350070487        0.0292281252        0.0248941714        0.0081481022        0.0071647440        0.0063579362        0.0057192305        1.0000000014
 84.5000        0.8363200050        0.0439512502        0.0360834413        0.0301325887        0.0256709357        0.0082799054        0.0072775793        0.0064624013        0.0058218945        1.0000000014
 85.0000        0.8316297223        0.0453140039        0.0372006306        0.0310712003        0.0264760420        0.0084144396        0.0073939700        0.0065710712        0.0059289215        1.0000000014
 85.5000        0.8267673849        0.0467272624        0.0383598593        0.0320449041        0.0273101630        0.0085519565        0.0075141283        0.0066840592        0.0060402837        1.0000000014
 86.0000        0.8217281063        0.0481925983        0.0395623760        0.0330546477        0.0281739724        0.0086926952        0.0076382425        0.0068014459        0.0061559170        1.0000000014
 86.5000        0.8165070951        0.0497115907        0.0408094339        0.0341013799        0.0290681439        0.0088368805        0.0077664759        0.0069232791        0.0062757223        1.0000000014
 87.0000        0.8110996625        0.0512858226        0.0421022888        0.0351860510        0.0299933510        0.0089847207        0.0078989649        0.0070495731        0.0063995667        1.0000000014
 87.5000        0.8055012307        0.0529168778        0.0434421974        0.0363096106        0.0309502663        0.0091364057        0.0080358185        0.0071803092        0.0065272852        1.0000000014
 88.0000        0.7997073400        0.0546063381        0.0448304151        0.0374730066        0.0319395604        0.0092921055        0.0081771173        0.0073154362        0.0066586824        1.0000000014
 88.5000        0.7937136562        0.0563557791        0.0462681935        0.0386771838        0.0329619015        0.0094519689        0.0083229127        0.0074548708        0.0067935349        1.0000000014
 89.0000        0.7875159785        0.0581667674        0.0477567782        0.0399230822        0.0340179537        0.0096161220        0.0084732270        0.0075984989        0.0069315935        1.0000000014
 89.5000        0.7811102468        0.0600408558        0.0492974057        0.0412116350        0.0351083763        0.0097846672        0.0086280530        0.0077461766        0.0070725850        1.0000000014
 90.0000        0.7744925496        0.0619795790        0.0508913005        0.0425437665        0.0362338221        0.0099576825        0.0087873544        0.0078977313        0.0072162154        1.0000000014
