       t   Mean-Field Energy       PE Difference        Total Energy                norm
  0.0000        0.2148034625        0.0009244185        0.2551783073        1.0000000000
  0.5000        0.2143942388        0.0009484877        0.2551783066        1.0000000000
  1.0000        0.2139771401        0.0009723433        0.2551783058        1.0000000001
  1.5000        0.2135527557        0.0009954018        0.2551783051        1.0000000001
  2.0000        0.2131216557        0.0010170998        0.2551783045        1.0000000002
  2.5000        0.2126843760        0.0010369096        0.2551783039        1.0000000004
  3.0000        0.2122414044        0.0010543525        0.2551783033        1.0000000005
  3.5000        0.2117931677        0.0010690117        0.2551783029        1.0000000007
  4.0000        0.2113400217        0.0010805425        0.2551783026        1.0000000008
  4.5000        0.2108822422        0.0010886808        0.2551783023        1.0000000010
  5.0000        0.2104200194        0.0010932489        0.2551783022        1.0000000011
  5.5000        0.2099534541        0.0010941588        0.2551783022        1.0000000012
  6.0000        0.2094825572        0.0010914127        0.2551783023        1.0000000013
  6.5000        0.2090072512        0.0010851014        0.2551783025        1.0000000014
  7.0000        0.2085273747        0.0010753994        0.2551783028        1.0000000014
  7.5000        0.2080426889        0.0010625585        0.2551783032        1.0000000014
  8.0000        0.2075528863        0.0010468988        0.2551783037        1.0000000014
  8.5000        0.2070576009        0.0010287981        0.2551783042        1.0000000013
  9.0000        0.2065564203        0.0010086804        0.2551783048        1.0000000013
  9.5000        0.2060488982        0.0009870028        0.2551783054        1.0000000012
 10.0000        0.2055345675        0.0009642421        0.2551783060        1.0000000011
 10.5000        0.2050129537        0.0009408818        0.2551783066        1.0000000009
 11.0000        0.2044835884        0.0009173984        0.2551783071        1.0000000008
 11.5000        0.2039460210        0.0008942499        0.2551783077        1.0000000007
 12.0000        0.2033998304        0.0008718634        0.2551783081        1.0000000005
 12.5000        0.2028446352        0.0008506263        0.2551783086        1.0000000004
 13.0000        0.2022801016        0.0008308769        0.2551783089        1.0000000003
 13.5000        0.2017059506        0.0008128986        0.2551783092        1.0000000002
 14.0000        0.2011219620        0.0007969150        0.2551783094        1.0000000002
 14.5000        0.2005279781        0.0007830872        0.2551783095        1.0000000001
 15.0000        0.1999239035        0.0007715134        0.2551783095        1.0000000001
 15.5000        0.1993097045        0.0007622302        0.2551783095        1.0000000001
 16.0000        0.1986854060        0.0007552152        0.2551783094        1.0000000001
 16.5000        0.1980510868        0.0007503926        0.2551783092        1.0000000002
 17.0000        0.1974068738        0.0007476386        0.2551783090        1.0000000003
 17.5000        0.1967529345        0.0007467889        0.2551783087        1.0000000004
 18.0000        0.1960894691        0.0007476473        0.2551783085        1.0000000005
 18.5000        0.1954167017        0.0007499938        0.2551783082        1.0000000006
 19.0000        0.1947348714        0.0007535943        0.2551783078        1.0000000007
 19.5000        0.1940442236        0.0007582091        0.2551783075        1.0000000008
 20.0000        0.1933450009        0.0007636017        0.2551783072        1.0000000009
 20.5000        0.1926374354        0.0007695470        0.2551783070        1.0000000010
 21.0000        0.1919217414        0.0007758381        0.2551783067        1.0000000011
 21.5000        0.1911981095        0.0007822929        0.2551783065        1.0000000012
 22.0000        0.1904667017        0.0007887584        0.2551783064        1.0000000012
 22.5000        0.1897276476        0.0007951145        0.2551783063        1.0000000013
 23.0000        0.1889810427        0.0008012759        0.2551783062        1.0000000013
 23.5000        0.1882269478        0.0008071925        0.2551783061        1.0000000013
 24.0000        0.1874653897        0.0008128489        0.2551783062        1.0000000013
 24.5000        0.1866963635        0.0008182616        0.2551783062        1.0000000012
 25.0000        0.1859198359        0.0008234760        0.2551783063        1.0000000012
 25.5000        0.1851357502        0.0008285613        0.2551783064        1.0000000011
 26.0000        0.1843440314        0.0008336054        0.2551783065        1.0000000010
 26.5000        0.1835445925        0.0008387086        0.2551783066        1.0000000009
 27.0000        0.1827373408        0.0008439770        0.2551783067        1.0000000008
 27.5000        0.1819221854        0.0008495154        0.2551783068        1.0000000007
 28.0000        0.1810990432        0.0008554213        0.2551783069        1.0000000006
 28.5000        0.1802678459        0.0008617776        0.2551783070        1.0000000005
 29.0000        0.1794285457        0.0008686471        0.2551783070        1.0000000005
 29.5000        0.1785811210        0.0008760673        0.2551783070        1.0000000004
 30.0000        0.1777255803        0.0008840457        0.2551783069        1.0000000003
 30.5000        0.1768619660        0.0008925570        0.2551783068        1.0000000003
 31.0000        0.1759903563        0.0009015404        0.2551783067        1.0000000003
 31.5000        0.1751108666        0.0009108990        0.2551783065        1.0000000002
 32.0000        0.1742236488        0.0009205002        0.2551783063        1.0000000002
 32.5000        0.1733288901        0.0009301770        0.2551783060        1.0000000003
 33.0000        0.1724268105        0.0009397309        0.2551783057        1.0000000003
 33.5000        0.1715176582        0.0009489360        0.2551783054        1.0000000003
 34.0000        0.1715621890        0.0000001495        0.2551783052        1.0000000004
 34.5000        0.1706516884        0.0000010677        0.2551783052        1.0000000004
 35.0000        0.1697329785        0.0000028246        0.2551783052        1.0000000005
 35.5000        0.1688060867        0.0000054120        0.2551783051        1.0000000006
 36.0000        0.1678710528        0.0000088096        0.2551783051        1.0000000007
 36.5000        0.1669279288        0.0000129856        0.2551783050        1.0000000007
 37.0000        0.1659767781        0.0000178976        0.2551783049        1.0000000008
 37.5000        0.1650176749        0.0000234935        0.2551783048        1.0000000009
 38.0000        0.1640507024        0.0000297125        0.2551783047        1.0000000009
 38.5000        0.1630759527        0.0000364862        0.2551783046        1.0000000010
 39.0000        0.1620935244        0.0000437405        0.2551783044        1.0000000010
 39.5000        0.1611035219        0.0000513964        0.2551783043        1.0000000011
 40.0000        0.1601060539        0.0000593718        0.2551783042        1.0000000011
 40.5000        0.1591012317        0.0000675830        0.2551783040        1.0000000011
 41.0000        0.1580891680        0.0000759459        0.2551783039        1.0000000011
 41.5000        0.1570699756        0.0000843776        0.2551783038        1.0000000011
 42.0000        0.1560437659        0.0000927976        0.2551783036        1.0000000011
 42.5000        0.1550106476        0.0001011291        0.2551783035        1.0000000011
 43.0000        0.1539707262        0.0001093002        0.2551783034        1.0000000011
 43.5000        0.1529241024        0.0001172445        0.2551783033        1.0000000010
 44.0000        0.1518708715        0.0001249024        0.2551783032        1.0000000010
 44.5000        0.1508111231        0.0001322215        0.2551783031        1.0000000009
 45.0000        0.1497449402        0.0001391570        0.2551783030        1.0000000009
 45.5000        0.1486723989        0.0001456722        0.2551783029        1.0000000008
 46.0000        0.1475935686        0.0001517386        0.2551783028        1.0000000008
 46.5000        0.1465085118        0.0001573360        0.2551783028        1.0000000007
 47.0000        0.1454172843        0.0001624521        0.2551783027        1.0000000007
 47.5000        0.1443199353        0.0001670825        0.2551783027        1.0000000006
 48.0000        0.1432165083        0.0001712301        0.2551783026        1.0000000006
 48.5000        0.1421070412        0.0001749047        0.2551783026        1.0000000006
 49.0000        0.1409915673        0.0001781223        0.2551783026        1.0000000005
 49.5000        0.1398701154        0.0001809045        0.2551783025        1.0000000005
 50.0000        0.1387427115        0.0001832779        0.2551783025        1.0000000005
 50.5000        0.1376093787        0.0001852731        0.2551783025        1.0000000005
 51.0000        0.1364701386        0.0001869241        0.2551783025        1.0000000004
 51.5000        0.1353250118        0.0001882675        0.2551783025        1.0000000004
 52.0000        0.1341740188        0.0001893417        0.2551783024        1.0000000004
 52.5000        0.1330171807        0.0001901864        0.2551783024        1.0000000004
 53.0000        0.1318545201        0.0001908420        0.2551783024        1.0000000005
 53.5000        0.1306860615        0.0001913486        0.2551783024        1.0000000005
 54.0000        0.1295118319        0.0001917460        0.2551783024        1.0000000005
 54.5000        0.1283318615        0.0001920732        0.2551783023        1.0000000005
 55.0000        0.1271461839        0.0001923677        0.2551783023        1.0000000005
 55.5000        0.1259548365        0.0001926658        0.2551783022        1.0000000006
 56.0000        0.1247578608        0.0001930023        0.2551783022        1.0000000006
 56.5000        0.1235553024        0.0001934103        0.2551783021        1.0000000006
 57.0000        0.1223472113        0.0001939213        0.2551783021        1.0000000006
 57.5000        0.1211336415        0.0001945655        0.2551783020        1.0000000007
 58.0000        0.1199146514        0.0001953720        0.2551783020        1.0000000007
 58.5000        0.1186903034        0.0001963688        0.2551783019        1.0000000007
 59.0000        0.1174606635        0.0001975836        0.2551783018        1.0000000007
 59.5000        0.1162258014        0.0001990439        0.2551783017        1.0000000008
 60.0000        0.1149857901        0.0002007773        0.2551783016        1.0000000008
 60.5000        0.1137407056        0.0002028124        0.2551783016        1.0000000008
 61.0000        0.1124906263        0.0002051789        0.2551783015        1.0000000008
 61.5000        0.1112356333        0.0002079085        0.2551783014        1.0000000008
 62.0000        0.1099758095        0.0002110350        0.2551783013        1.0000000009
 62.5000        0.1087112394        0.0002145949        0.2551783012        1.0000000009
 63.0000        0.1074420093        0.0002186282        0.2551783011        1.0000000009
 63.5000        0.1061682063        0.0002231784        0.2551783010        1.0000000009
 64.0000        0.1048899188        0.0002282931        0.2551783009        1.0000000009
 64.5000        0.1036072361        0.0002340245        0.2551783008        1.0000000009
 65.0000        0.1023202482        0.0002404295        0.2551783007        1.0000000009
 65.5000        0.1010290457        0.0002475704        0.2551783006        1.0000000009
 66.0000        0.0997337204        0.0002555145        0.2551783005        1.0000000009
 66.5000        0.0984343646        0.0002643350        0.2551783004        1.0000000009
 67.0000        0.0971310719        0.0002741106        0.2551783003        1.0000000009
 67.5000        0.0958239371        0.0002849260        0.2551783002        1.0000000009
 68.0000        0.0945130563        0.0002968717        0.2551783001        1.0000000009
 68.5000        0.0931985278        0.0003100441        0.2551783000        1.0000000009
 69.0000        0.0918804520        0.0003245455        0.2551782999        1.0000000009
 69.5000        0.0905589319        0.0003404842        0.2551782997        1.0000000008
 70.0000        0.0892340738        0.0003579740        0.2551782996        1.0000000008
 70.5000        0.0879059875        0.0003771348        0.2551782995        1.0000000008
 71.0000        0.0865747872        0.0003980918        0.2551782994        1.0000000008
 71.5000        0.0852405918        0.0004209759        0.2551782992        1.0000000008
 72.0000        0.0839035253        0.0004459233        0.2551782991        1.0000000008
 72.5000        0.0825637180        0.0004730754        0.2551782989        1.0000000008
 73.0000        0.0812213067        0.0005025792        0.2551782988        1.0000000008
 73.5000        0.0798764351        0.0005345863        0.2551782986        1.0000000008
 74.0000        0.0785292551        0.0005692540        0.2551782984        1.0000000008
 74.5000        0.0771799265        0.0006067442        0.2551782982        1.0000000008
 75.0000        0.0758286182        0.0006472243        0.2551782980        1.0000000007
 75.5000        0.0744755087        0.0006908665        0.2551782978        1.0000000007
 76.0000        0.0731207862        0.0007378486        0.2551782976        1.0000000007
 76.5000        0.0717646495        0.0007883534        0.2551782974        1.0000000007
 77.0000        0.0704073085        0.0008425694        0.2551782971        1.0000000007
 77.5000        0.0690489841        0.0009006908        0.2551782968        1.0000000007
 78.0000        0.0676899092        0.0009629177        0.2551782966        1.0000000007
 78.5000        0.0663303286        0.0010294562        0.2551782963        1.0000000007
 79.0000        0.0649704995        0.0011005189        0.2551782960        1.0000000007
 79.5000        0.0636106919        0.0011763251        0.2551782956        1.0000000007
 80.0000        0.0622511884        0.0012571008        0.2551782953        1.0000000007
 80.5000        0.0608922849        0.0013430795        0.2551782949        1.0000000007
