       t         state 0 pop         state 1 pop         state 2 pop         state 3 pop         state 4 pop         state 5 pop         state 6 pop         state 7 pop         state 8 pop              poptot
  0.0000        0.0001591468        0.0001660124        0.0001740360        0.0001819542        0.0003606147        0.0003844484        0.0004132492        0.0004426991        0.9977178394        1.0000000000
  0.5000        0.0001660445        0.0001731230        0.0001814282        0.0001895856        0.0003769501        0.0004015832        0.0004314596        0.0004618554        0.9976179705        1.0000000000
  1.0000        0.0001729179        0.0001802107        0.0001888015        0.0001971993        0.0003935651        0.0004190020        0.0004499706        0.0004813146        0.9975170183        1.0000000000
  1.5000        0.0001795548        0.0001870657        0.0001959481        0.0002045899        0.0004102416        0.0004364898        0.0004685696        0.0005008674        0.9974166731        1.0000000000
  2.0000        0.0001857494        0.0001934844        0.0002026653        0.0002115570        0.0004267588        0.0004538295        0.0004870419        0.0005203030        0.9973186107        1.0000000000
  2.5000        0.0001913087        0.0001992749        0.0002087618        0.0002179111        0.0004428968        0.0004708043        0.0005051734        0.0005394110        0.9972244581        1.0000000000
  3.0000        0.0001960582        0.0002042632        0.0002140628        0.0002234778        0.0004584390        0.0004872009        0.0005227525        0.0005579838        0.9971357619        1.0000000000
  3.5000        0.0001998482        0.0002082980        0.0002184149        0.0002281031        0.0004731755        0.0005028118        0.0005395729        0.0005758185        0.9970539571        1.0000000000
  4.0000        0.0002025575        0.0002112553        0.0002216904        0.0002316570        0.0004869055        0.0005174381        0.0005554361        0.0005927192        0.9969803408        1.0000000000
  4.5000        0.0000000482        0.0000000504        0.0000000530        0.0000000555        0.0000001233        0.0000001323        0.0000001435        0.0000001550        0.9999992389        1.0000000000
  5.0000        0.0000002441        0.0000002549        0.0000002679        0.0000002805        0.0000006279        0.0000006732        0.0000007302        0.0000007881        0.9999961332        1.0000000000
  5.5000        0.0000005874        0.0000006133        0.0000006449        0.0000006752        0.0000015253        0.0000016346        0.0000017729        0.0000019124        0.9999906340        1.0000000000
  6.0000        0.0000010703        0.0000011179        0.0000011762        0.0000012318        0.0000028143        0.0000030152        0.0000032705        0.0000035268        0.9999827768        1.0000000000
  6.5000        0.0000016810        0.0000017569        0.0000018500        0.0000019385        0.0000044890        0.0000048091        0.0000052174        0.0000056254        0.9999726327        1.0000000000
  7.0000        0.0000024035        0.0000025144        0.0000026505        0.0000027797        0.0000065385        0.0000070055        0.0000076032        0.0000081977        0.9999603070        1.0000000000
  7.5000        0.0000032184        0.0000033712        0.0000035586        0.0000037362        0.0000089475        0.0000095892        0.0000104131        0.0000112288        0.9999459372        1.0000000000
  8.0000        0.0000041037        0.0000043051        0.0000045521        0.0000047860        0.0000116961        0.0000125404        0.0000136276        0.0000146996        0.9999296895        1.0000000000
  8.5000        0.0000050347        0.0000052917        0.0000056067        0.0000059048        0.0000147600        0.0000158354        0.0000172235        0.0000185868        0.9999117564        1.0000000000
  9.0000        0.0000059856        0.0000063052        0.0000066961        0.0000070665        0.0000181113        0.0000194463        0.0000211734        0.0000228635        0.9998923522        1.0000000000
