       t                  x1                  x2
  0.0000       -0.8592138498        0.2355947316
  0.5000       -0.8575765612        0.2384785049
  1.0000       -0.8559054002        0.2413622637
  1.5000       -0.8542003749        0.2442459710
  2.0000       -0.8524614983        0.2471295659
  2.5000       -0.8506887887        0.2500129651
  3.0000       -0.8488822693        0.2528960646
  3.5000       -0.8470419676        0.2557787429
  4.0000       -0.8451679151        0.2586608633
  4.5000       -0.8432601466        0.2615422773
  5.0000       -0.8413186993        0.2644228285
  5.5000       -0.8393436127        0.2673023560
  6.0000       -0.8373349268        0.2701806983
  6.5000       -0.8352926822        0.2730576965
  7.0000       -0.8332169187        0.2759331986
  7.5000       -0.8311076746        0.2788070617
  8.0000       -0.8289649861        0.2816791555
  8.5000       -0.8267888866        0.2845493645
  9.0000       -0.8245794059        0.2874175898
  9.5000       -0.8223365699        0.2902837507
 10.0000       -0.8200604000        0.2931477853
 10.5000       -0.8177509131        0.2960096509
 11.0000       -0.8154081212        0.2988693239
 11.5000       -0.8130320316        0.3017267988
 12.0000       -0.8106226467        0.3045820869
 12.5000       -0.8081799647        0.3074352153
 13.0000       -0.8057039792        0.3102862240
 13.5000       -0.8031946805        0.3131351646
 14.0000       -0.8006520552        0.3159820970
 14.5000       -0.7980760874        0.3188270875
 15.0000       -0.7954667591        0.3216702063
 15.5000       -0.7928240506        0.3245115242
 16.0000       -0.7901479413        0.3273511113
 16.5000       -0.7874384106        0.3301890339
 17.0000       -0.7846954378        0.3330253534
 17.5000       -0.7819190032        0.3358601240
 18.0000       -0.7791090882        0.3386933917
 18.5000       -0.7762656759        0.3415251935
 19.0000       -0.7733887514        0.3443555566
 19.5000       -0.7704783019        0.3471844985
 20.0000       -0.7675343169        0.3500120267
 20.5000       -0.7645567885        0.3528381396
 21.0000       -0.7615457107        0.3556628270
 21.5000       -0.7585010802        0.3584860712
 22.0000       -0.7554228956        0.3613078481
 22.5000       -0.7523111574        0.3641281288
 23.0000       -0.7491658677        0.3669468805
 23.5000       -0.7459870300        0.3697640684
